z,k_s_per_km,p1d_kms,e_stat_kms,e_syst_kms,e_total_kms,pfid_kms
2.2000,0.04386822,-0.03769303,0.97514871,0.36168851,1.04006422,2.27266280
2.2000,0.04489004,2.20229756,1.84543485,0.37737213,1.88362404,2.34062520
2.2000,0.04593567,7.07497582,8.70066530,0.39852207,8.70978739,3.02906370
2.2000,0.04700565,327.91516300,331.40263733,4.70442085,331.43602641,24.09702790
2.2000,0.04810055,1.06102513,0.00000000,0.34724394,0.34724394,0.00000000
2.2000,0.04922096,1.00504782,0.00000000,0.34854123,0.34854123,0.00000000
2.2000,0.05036746,0.95135491,0.00000000,0.34968601,0.34968601,0.00000000
2.2000,0.05154067,0.89990161,0.00000000,0.35067584,0.35067584,0.00000000
2.2000,0.05274120,0.85063905,0.00000000,0.35150848,0.35150848,0.00000000
2.4000,0.00025000,11.13993182,2.10571684,4.21210831,4.70912942,15.29523100
2.4000,0.00075000,27.12608231,0.31693591,1.17055389,1.21270144,22.91350300
2.4000,0.00125000,26.06130867,0.25011448,0.49509876,0.55468913,24.29084700
2.4000,0.00175000,23.51988656,0.23645487,0.28343291,0.36911397,23.99686500
2.4000,0.00225000,25.88988060,0.22759951,0.20944018,0.30930038,23.24984100
2.4000,0.00275000,24.61975259,0.21511548,0.18083195,0.28102467,22.35469000
2.4000,0.00325000,23.74186510,0.20414451,0.16219938,0.26073669,21.43027400
2.4000,0.00375000,19.19767727,0.19470028,0.15317475,0.24773111,20.52540600
2.4000,0.00425000,17.50211436,0.18684446,0.14796195,0.23833504,19.65963800
2.4000,0.00475000,18.36429214,0.18052762,0.14509401,0.23160849,18.84000500
2.4000,0.00525000,19.01058886,0.17516297,0.14389023,0.22668583,18.06788800
2.4000,0.00575000,18.94260728,0.17016397,0.15018163,0.22695881,17.34094920
2.4000,0.00625000,16.26904912,0.16517656,0.14517395,0.21990628,16.65653750
2.4000,0.00675000,14.97154712,0.16061634,0.14703850,0.21775659,16.01218570
2.4000,0.00725000,14.76155115,0.15673998,0.14977186,0.21679260,15.40474560
2.4000,0.00775000,16.16602614,0.15335942,0.15316602,0.21674626,14.83095220
2.4000,0.00825000,14.89475523,0.15015205,0.28282451,0.32021140,14.28824330
2.4000,0.00875000,14.82090573,0.14695548,0.66524546,0.68128366,13.77430400
2.4000,0.00925000,13.26509037,0.14387333,0.16649098,0.22004268,13.28678190
2.4000,0.00975000,12.01865945,0.14112778,0.17317104,0.22339486,12.82363930
2.4000,0.01025000,12.17372281,0.13885412,0.17731103,0.22521027,12.38305830
2.4000,0.01075000,12.39099595,0.13678431,0.18312710,0.22857270,11.96341670
2.4000,0.01125000,12.39998539,0.13481836,0.18915038,0.23227970,11.56328130
2.4000,0.01175000,10.90032620,0.13282065,0.19534084,0.23621890,11.18131210
2.4000,0.01225000,10.38368455,0.13086492,0.20258166,0.24117412,10.81624980
2.4000,0.01275000,10.27428031,0.12916565,0.20808043,0.24491066,10.46705460
2.4000,0.01325000,10.25605826,0.12741080,0.21456797,0.24954543,10.13279840
2.4000,0.01375000,9.98797130,0.12572039,0.22110199,0.25434564,9.81252350
2.4000,0.01425000,9.42454548,0.12396935,0.22765999,0.25922475,9.50541540
2.4000,0.01475000,8.97990425,0.12230241,0.23466229,0.26462100,9.21076390
2.4000,0.01525000,8.72318889,0.12103621,0.24153095,0.27016100,8.92789190
2.4000,0.01575000,8.73432757,0.11978631,0.24758907,0.27504383,8.65615830
2.4000,0.01625000,8.24277495,0.11878767,0.25380325,0.28022598,8.39499420
2.4000,0.01675000,8.49604558,0.11782280,0.26025262,0.28568101,8.14387160
2.4000,0.01725000,8.28735905,0.11690246,0.26664747,0.29114783,7.90230980
2.4000,0.01775000,7.58668755,0.11613321,0.27298040,0.29665674,7.66986330
2.4000,0.01825000,7.12407834,0.11554936,0.27924604,0.30220855,7.44608920
2.4000,0.01875000,7.56774518,0.11515667,0.28543848,0.30779243,7.23059820
2.4000,0.01925000,7.31100937,0.11495154,0.29155292,0.31339585,7.02304470
